Q1,Q2,Q3,Q4,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
0.946351,-0.165499,-0.194724,-0.19777,1.58,2.07,1.51,1.67,1.37,1.15,2.26,1.82,1.49,1.79
0.949963,-0.163435,-0.190372,-0.186057,1.57,2.07,1.51,1.67,1.37,1.15,2.26,1.82,1.49,1.79
0.952189,-0.16203,-0.187705,-0.178466,1.57,2.07,1.52,1.67,1.37,1.15,2.26,1.82,1.49,1.79
0.954895,-0.160605,-0.184387,-0.16847,1.57,2.07,1.51,1.67,1.37,1.15,2.26,1.82,1.49,1.79
0.956842,-0.159825,-0.181753,-0.16086,1.57,2.07,1.52,1.67,1.37,1.15,2.26,1.82,1.49,1.79
0.958681,-0.158716,-0.179671,-0.153162,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.960869,-0.156917,-0.177192,-0.143915,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.9625,-0.155466,-0.175327,-0.13669,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.78
0.964133,-0.154892,-0.173028,-0.128521,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.96522,-0.153767,-0.171612,-0.123515,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.966834,-0.152318,-0.169373,-0.115519,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.967651,-0.151593,-0.168379,-0.110992,1.57,2.07,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.968675,-0.15041,-0.167199,-0.105314,1.57,2.07,1.52,1.67,1.38,1.15,2.25,1.82,1.49,1.79
0.969898,-0.148774,-0.165575,-0.098738,1.57,2.06,1.52,1.67,1.38,1.15,2.25,1.82,1.49,1.79
0.970724,-0.148156,-0.164309,-0.09353,1.57,2.06,1.52,1.67,1.38,1.15,2.26,1.82,1.49,1.79
0.971664,-0.14734,-0.162683,-0.087719,1.57,2.07,1.52,1.67,1.38,1.15,2.25,1.82,1.49,1.79
0.972452,-0.146497,-0.161354,-0.082706,1.57,2.06,1.52,1.67,1.39,1.15,2.25,1.82,1.49,1.79
0.973054,-0.146291,-0.160239,-0.078027,1.57,2.06,1.52,1.67,1.39,1.15,2.25,1.82,1.49,1.79
0.973549,-0.14615,-0.159401,-0.07371,1.57,2.06,1.52,1.67,1.39,1.15,2.22,1.82,1.49,1.79
0.974173,-0.145904,-0.158225,-0.068296,1.57,2.06,1.52,1.67,1.39,1.15,2.22,1.82,1.49,1.79
0.974509,-0.145718,-0.157339,-0.065902,1.56,2.06,1.52,1.67,1.39,1.15,2.2,1.82,1.49,1.79
0.975258,-0.144558,-0.155813,-0.060801,1.57,2.06,1.52,1.67,1.39,1.15,2.2,1.82,1.49,1.79
0.975852,-0.143677,-0.154726,-0.055947,1.57,2.06,1.52,1.67,1.39,1.15,2.2,1.82,1.49,1.79
0.976626,-0.142697,-0.152962,-0.049416,1.57,2.06,1.52,1.67,1.38,1.15,2.2,1.82,1.49,1.79
0.977042,-0.141565,-0.152813,-0.044693,1.57,2.06,1.52,1.67,1.39,1.15,2.2,1.82,1.49,1.79
0.97716,-0.141743,-0.15337,-0.039303,1.57,2.06,1.52,1.67,1.39,1.15,2.2,1.82,1.49,1.79
0.977286,-0.141177,-0.154075,-0.035253,1.57,2.06,1.52,1.67,1.39,1.15,2.2,1.82,1.49,1.79
0.977427,-0.140591,-0.154567,-0.031303,1.57,2.06,1.52,1.67,1.39,1.15,2.26,1.82,1.49,1.79
0.977602,-0.139432,-0.155294,-0.027131,1.57,2.06,1.52,1.67,1.39,1.15,2.26,1.82,1.49,1.79
0.977444,-0.13949,-0.156846,-0.023368,1.56,2.07,1.52,1.67,1.39,1.15,2.27,1.82,1.49,1.79
0.977442,-0.139091,-0.157412,-0.02198,1.57,2.07,1.52,1.67,1.39,1.15,2.27,1.82,1.5,1.79
0.977359,-0.138455,-0.158547,-0.021522,1.57,2.07,1.52,1.67,1.39,1.15,2.27,1.82,1.5,1.79
0.977211,-0.138649,-0.159207,-0.022083,1.57,2.07,1.52,1.67,1.39,1.15,2.27,1.82,1.5,1.8
0.977195,-0.138288,-0.159387,-0.023702,1.57,2.07,1.52,1.67,1.39,1.15,2.27,1.82,1.5,1.79
0.977023,-0.138488,-0.159811,-0.026621,1.57,2.07,1.52,1.67,1.39,1.15,2.27,1.81,1.5,1.8
0.976719,-0.139181,-0.16028,-0.030965,1.57,2.07,1.52,1.67,1.39,1.15,2.27,1.82,1.5,1.79
0.976389,-0.139523,-0.161148,-0.03506,1.57,2.07,1.52,1.67,1.39,1.15,2.28,1.82,1.5,1.79
0.976114,-0.13954,-0.161911,-0.038912,1.57,2.07,1.52,1.67,1.39,1.15,2.28,1.82,1.5,1.8
0.975801,-0.139723,-0.162619,-0.042946,1.57,2.07,1.52,1.67,1.39,1.15,2.28,1.82,1.5,1.8
0.974997,-0.141464,-0.163796,-0.050396,1.57,2.07,1.52,1.67,1.39,1.15,2.28,1.82,1.5,1.79
0.974577,-0.142321,-0.164373,-0.054092,1.57,2.07,1.52,1.67,1.39,1.15,2.28,1.82,1.5,1.79
0.973906,-0.142595,-0.165701,-0.060965,1.57,2.07,1.52,1.67,1.39,1.15,2.28,1.82,1.5,1.79
0.973043,-0.142605,-0.168273,-0.067351,1.57,2.08,1.51,1.67,1.38,1.15,2.29,1.82,1.5,1.79
0.972321,-0.143289,-0.170178,-0.071415,1.57,2.08,1.51,1.67,1.38,1.15,2.29,1.82,1.51,1.79
0.971149,-0.145201,-0.172551,-0.077539,1.57,2.08,1.51,1.68,1.38,1.15,2.29,1.82,1.5,1.79
